"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.176526370E1,5.511890680E1,1.243597355E2,NaN,NaN,1.958300018E1,1.000000000E0
0.000000000E0,5.176509350E1,5.511884230E1,1.234602457E2,NaN,NaN,4.094499969E1,2.192643404E0
2.072159650E1,5.176518090E1,5.511887560E1,1.243599850E2,NaN,NaN,3.666400146E1,1.000000000E0
3.809959650E1,5.176540800E1,5.511942420E1,1.221606508E2,NaN,NaN,2.118000031E1,2.154072046E0
5.604721478E1,5.176537989E1,5.511937841E1,1.323606300E2,1.029999971E0,3.390000000E2,3.214285660E1,1.300000000E1
5.704721745E1,5.176537930E1,5.511935888E1,1.313605756E2,1.279999971E0,3.390000000E2,3.367346954E1,1.300000000E1
5.804722016E1,5.176539062E1,5.511932275E1,1.323604240E2,1.379999995E0,3.543999939E2,4.948979568E1,1.300000000E1
5.904722294E1,5.176539464E1,5.511932217E1,1.373604058E2,1.100000024E0,3.458999939E2,6.530612183E1,1.300000000E1
6.004722556E1,5.176539929E1,5.511932476E1,1.413603943E2,1.179999948E0,8.300000191E0,4.948979568E1,1.200000000E1
6.104722833E1,5.176540373E1,5.511933357E1,1.423604016E2,3.599999845E-1,1.330000019E1,2.755101967E1,1.200000000E1
6.204723110E1,5.176544292E1,5.511935377E1,1.353602994E2,1.039999962E0,1.939999962E1,3.826530457E1,1.200000000E1
6.304723374E1,5.176547242E1,5.511935636E1,1.293601857E2,1.159999967E0,6.099999905E0,1.989795876E1,9.000000000E0
6.404723656E1,5.176549376E1,5.511933583E1,1.283600383E2,1.230000019E0,3.483999939E2,4.642856979E1,1.000000000E1
6.504723931E1,5.176550474E1,5.511933642E1,1.293599949E2,6.999999881E-1,3.446000061E2,2.040816307E1,1.000000000E1
6.604724206E1,5.176552146E1,5.511932326E1,1.303598880E2,6.699999571E-1,3.417000122E2,3.010204124E1,9.000000000E0
6.704724482E1,5.176552401E1,5.511931999E1,1.313598679E2,4.199999869E-1,3.392999878E2,2.142857170E1,8.000000000E0
6.804724758E1,5.176553508E1,5.511930934E1,1.323597915E2,1.199999928E0,3.292000122E2,3.418367386E1,9.000000000E0
6.904725041E1,5.176555322E1,5.511928051E1,1.313596331E2,1.159999967E0,3.171000061E2,4.030612183E1,9.000000000E0
7.004725311E1,5.176555905E1,5.511927959E1,1.333596065E2,1.029999971E0,3.171000061E2,3.214285660E1,9.000000000E0
7.104725593E1,5.176557116E1,5.511926626E1,1.333595179E2,7.299999595E-1,3.170000000E2,2.500000000E1,1.000000000E1
7.204725877E1,5.176557732E1,5.511926517E1,1.333594895E2,5.199999809E-1,3.147000122E2,2.806122398E1,1.000000000E1
7.304726155E1,5.176558818E1,5.511924338E1,1.333593815E2,1.370000005E0,3.052000122E2,4.642856979E1,1.000000000E1
7.404726437E1,5.176560071E1,5.511923290E1,1.343592995E2,1.039999962E0,3.003999939E2,5.663265228E1,1.100000000E1
7.504726719E1,5.176561307E1,5.511922033E1,1.353592121E2,1.709999919E0,2.927999878E2,5.408163452E1,1.100000000E1
7.604727005E1,5.176562011E1,5.511920339E1,1.363591340E2,1.389999986E0,2.917000122E2,2.908163261E1,1.200000000E1
7.704727291E1,5.176564580E1,5.511918588E1,1.363589774E2,1.209999919E0,3.085000000E2,5.765306091E1,1.100000000E1
7.804727570E1,5.176566986E1,5.511917255E1,1.353588398E2,1.639999986E0,3.148999939E2,7.500000000E1,1.100000000E1
9.704733131E1,5.176596758E1,5.511893165E1,1.353569158E2,1.449999928E0,3.397999878E2,4.846938705E1,1.000000000E1
9.804733434E1,5.176598967E1,5.511891950E1,1.363567897E2,1.629999995E0,3.310000000E2,4.081632614E1,9.000000000E0
9.904733729E1,5.176600182E1,5.511890248E1,1.353566903E2,1.740000010E0,3.287000122E2,3.469387817E1,9.000000000E0
1.000473403E2,5.176601322E1,5.511892051E1,1.343566959E2,1.610000014E0,3.295000000E2,3.265306091E1,9.000000000E0
1.010473434E2,5.176602680E1,5.511893534E1,1.323566832E2,1.679999948E0,3.242000122E2,2.959183693E1,8.000000000E0
1.020473464E2,5.176603338E1,5.511895873E1,1.293567242E2,1.559999943E0,3.253999939E2,3.928571320E1,8.000000000E0
1.030473494E2,5.176603854E1,5.511896878E1,1.273567323E2,1.439999938E0,3.247999878E2,5.357143021E1,8.000000000E0
1.040473526E2,5.176605865E1,5.511895160E1,1.283565997E2,1.679999948E0,3.245000000E2,4.846938705E1,8.000000000E0
